price,car_name,year,A/C,seats_amount,horsepower,color,"car_mileage, km","engine_capacity, cc",type_of_drive,doors,fuel,car_type,gearbox
1100,Alfa Romeo 11.9,2002,Unknown,5.0,109,Unknown,220000.0,1700.0,Unknown,Unknown,Unknown,Unknown,Unknown
1100,Alfa Romeo 145,2000,manual A/C,5.0,106,gray,158546.0,1400.0,front,2/3 doors,petrol + gas,hatchback,"manual, 5 speeds"
950,Alfa Romeo 145,1999,manual A/C,5.0,105,green,337000.0,1910.0,front,2/3 doors,diesel,hatchback,"manual, 5 speeds"
500,Alfa Romeo 146,2000,manual A/C,5.0,120,gray,200000.0,1600.0,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
111,Alfa Romeo 147,2024,automatic A/C,5.0,116,gray,280000.0,1900.0,front,2/3 doors,diesel,hatchback,"manual, 5 speeds"
2300,Alfa Romeo 147,2008,no A/C,5.0,105,black,188000.0,1600.0,front,4/5 doors,petrol + gas,hatchback,"manual, 5 speeds"
3500,Alfa Romeo 147,2008,automatic A/C,5.0,170,black,255000.0,1929.0,front,4/5 doors,diesel,hatchback,"manual, 6 speeds"
2150,Alfa Romeo 147,2008,manual A/C,5.0,90,black,214000.0,1600.0,front,4/5 doors,petrol + gas,hatchback,"manual, 5 speeds"
1350,Alfa Romeo 147,2008,automatic A/C,5.0,120,white,315000.0,1910.0,front,4/5 doors,diesel,hatchback,"manual, 6 speeds"
2000,Alfa Romeo 147,2007,no A/C,5.0,105,black,176853.0,1597.0,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
2500,Alfa Romeo 147,2007,no A/C,5.0,105,red,228650.0,1600.0,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
900,Alfa Romeo 147,2007,automatic A/C,5.0,120,black,280000.0,1600.0,front,2/3 doors,petrol + gas,hatchback,"manual, 5 speeds"
2250,Alfa Romeo 147,2007,automatic A/C,5.0,120,brown,247000.0,1600.0,front,4/5 doors,petrol + gas,hatchback,"manual, 5 speeds"
1950,Alfa Romeo 147,2006,manual A/C,5.0,105,gray,158600.0,1600.0,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
